start,english_subtitle,translation
00:00:03.001,[upbeat music],SCRANTON BEGRÜSST SIE
00:00:32.573,"All right, Jim,","Jim, deine Quartalszahlen sehen gut aus."
00:00:36.036,your quarterlies,Wie läuft es mit der Bücherei?
00:00:38.121,look very good.,Ich konnte den Vertrag nicht abschließen…
00:00:40.539,How are things going,"Also bist du zum Meister gekommen,
um ihn um Rat zu bitten."
00:00:44.502,at the library?,"Willst du das sagen, Grashüpfer?"
00:00:46.755,"Oh, I told you.","Du hast mich herbestellt,"
00:00:48.381,"I couldn't close it, so...",aber ja.
00:00:49.548,So you've come,"Ok, ich zeige dir, wie man das macht."
00:00:51.843,to the master for guidance?,"Ja, ich möchte Ihren Büroleiter sprechen."
00:00:54.512,[Chinese accent] Is this what,"Ja, hallo, hier ist Michael Scott."
00:00:56.805,"you're saying, Grasshopper?","Ich bin der Regionalmanager
von Dunder Mifflin Papierprodukte."
00:01:00.518,"Uh, actually,","Ich wollte mit Ihnen
von Manager zu Manager sprechen."
00:01:06.399,you called me in here.,"Ok, abgemacht."
00:01:07.608,"But, yeah.",Vielen Dank.
00:01:09.569,"All right, well, let me",Sie sind ein echter Ehrenmann.
00:01:13.072,show you how it's done.,"Oh, tut mir leid."
00:01:14.490,"Yes, I'd like to speak","Ok, tut mir leid."
00:01:16.075,"to your office manager, please.",Mein Fehler.
00:01:19.078,"Yes, hello.","Das war eine Frau, mit der ich sprach."
00:01:21.664,This is Michael Scott.,Sie hatte eine sehr tiefe Stimme.
00:01:24.501,I am the Regional Manager,Wahrscheinlich Raucherin.
00:01:30.048,of Dunder Mifflin,Also so wird das gemacht.
00:01:31.840,paper products.,Ich bin seit 12 Jahre bei Dunder Mifflin.
00:01:34.885,Just wanted to talk to you,Die letzten vier als Regionalmanager.
00:01:38.096,manager a manager.,Folgt mir bitte.
00:01:41.141,"All right, done deal!",Wir haben das gesamte Stockwerk.
00:01:42.811,[Irish accent],"Das ist mein Königreich,"
00:01:44.353,"Thank you very much, sir!",so weit das Auge reicht.
00:01:46.355,You're gentleman,"Unsere Rezeptionistin, Pam."
00:01:48.191,and a scholar.,Pam!
00:01:50.150,"Oh, I'm sorry.",Pam Beasley.
00:01:51.653,Okay.,"Pam ist schon ewig bei uns, oder?"
00:01:55.823,I'm sorry.,Ich weiß nicht.
00:01:56.865,My mistake.,"Wenn ihr sie jetzt süß findet,"
00:01:58.492,[clears throat],hättet ihr sie früher sehen müssen.
00:02:00.995,That was a woman,Was?
00:02:02.121,I was talking to.,Irgendwelche Nachrichten?
00:02:05.040,So.,"Ja, nur ein Fax."
00:02:08.669,She had a very low voice.,Das ist von ganz oben.
00:02:09.753,Probably a smoker.,"-Wie oft muss ich dir sagen,
-Ja."
00:02:11.463,So...,"dass es eine Sonderablage
für die Firmenleitung gibt?"
00:02:14.050,[clears throat],"-Hast du nie gesagt.
-Genannt Mülleimer."
00:02:18.680,So that's the way it's done.,Seht euch das an!
00:02:21.306,"I've, uh, I've been",Seht euch ihr Gesicht an!
00:02:22.641,at Dunder Mifflin,"Ich höre oft, ich wäre der beste Boss."
00:02:25.353,for 12 years.,"Sie sagen: ""So einen Arbeitsplatz
hatten wir noch nie."
00:02:27.938,The last four,Du bist so witzig.
00:02:29.858,as regional manager.,"Und du holst das Beste aus uns raus."""
00:02:35.320,"Uh, if you wanna",Das fasst es ganz gut zusammen.
00:02:37.031,come through here.,DER BESTE BOSS DER WELT
00:02:38.907,"Ah, see, we have",Die habe ich vom Flohmarkt.
00:02:53.548,the entire floor.,Ich habe kein Geschenk für dich
00:03:00.179,"So this is my kingdom,","Meine Aufgabe ist,"
00:03:03.223,far as the eye can see.,"mit Kunden zu telefonieren,"
00:03:06.436,"Ah, this","bezüglich Menge und Qualität
von Druckerpapier,"
00:03:12.775,is our receptionist Pam.,"ob wir sie damit beliefern können,"
00:03:15.861,[imitating Bam-Bam],und ob sie es bezahlen können.
00:03:19.741,"Pam! Pam, Pam!",Und…
00:03:25.496,Pam Beasley.,"Es langweilt mich schon,
nur darüber zu reden."
00:03:32.920,"Uh, Pam has been with us,",Was geht ab?
00:03:34.296,um...for...forever.,Was geht ab?
00:03:36.216,"Right, Pam?","Immer noch geil, Jahre später."
00:03:37.883,"Well, I don't know.",Was geht ab?
00:03:39.176,If you think,Was geht ab?
00:03:41.221,"she's cute now,",Was geht ab?
00:03:45.641,you should have seen her,Was geht ab?
00:03:59.405,a couple of years ago.,Was?
00:04:01.074,"Reow, reow.",Nichts.
00:04:02.449,What?,"Ok, gut."
00:04:04.284,"Uh, any messages?","-Bis später.
-In Ordnung."
00:04:07.455,Um...yeah.,Bleibt sauber.
00:04:08.914,Just a fax.,Zurück an die Arbeit!
00:04:18.132,Oh.,"Keine Ahnung,
kurz vor Mittag. Das wäre gut."
00:04:20.218,"Pam, this is from corporate.",Die Firmenleitung lässt mich machen.
00:04:22.011,How many times,Jan Levinson Gould.
00:04:23.303,have I told you,"-Jan, hallo!
-Ja."
00:04:24.973,that there's,Ich nenne sie Hillary Rodham Clinton.
00:04:27.850,a special filing cabinet,"Also nicht in ihrer Gegenwart,"
00:04:29.978,for things from corporate?,aber ich habe keine Angst vor ihr.
00:04:32.939,You haven't told me--,"Habe ich nicht,"
00:04:34.357,It's called,aber ja.
00:04:37.235,the wastepaper basket!,"Gut. Wollten Sie der Tagesordnung
etwas hinzufügen?"
00:04:41.406,[bawdy laugh],Ich keine Tagesordnung bekommen.
00:04:44.033,Look at that!,"-Wie bitte? Ich… Was?
-Ich bekam keine Tagesordnung."
00:04:46.786,"Oh, look at that face.",Ich habe Ihnen heute eine gefaxt.
00:04:48.829,People say,Wirklich? Ich habe keine…
00:04:50.581,I am the best boss.,"Ich habe…
Haben wir heute ein Fax erhalten?"
